sample-id,date,location,carbon,timepoint,air_temp
C1,9/7/21,control,y,183,75
C5,10/4/21,control,y,210,68
C10,11/8/21,control,y,245,56
C15,12/13/21,control,y,280,42
C16,1/12/22,control,y,310,37
T22,9/7/21,test,y,183,75
T26,10/4/21,test,y,210,68
T31,11/8/21,test,y,245,56
T35,12/13/21,test,y,280,42
T36,1/12/22,test,y,310,37
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,